,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
2,2,Tadine,NC,2022-01-30 22:06:14,-21.55,167.8833,81.88,80,96,9.24
9,9,Rikitea,PF,2022-01-30 22:05:57,-23.1203,-134.9692,76.55,69,100,4.16
11,11,Saint-Philippe,RE,2022-01-30 22:05:39,-21.3585,55.7679,78.39,82,46,11.36
16,16,Adrar,MR,2022-01-30 22:04:47,20.5022,-10.0711,75.31,13,100,10.11
26,26,Hilo,US,2022-01-30 22:06:24,19.7297,-155.09,78.12,58,40,8.05
28,28,Puerto Ayora,EC,2022-01-30 22:06:02,-0.7393,-90.3518,82.36,73,100,8.79
34,34,Sambava,MG,2022-01-30 22:06:42,-14.2667,50.1667,76.59,89,51,10.29
36,36,Kapaa,US,2022-01-30 22:06:42,22.0752,-159.319,80.47,72,0,1.01
37,37,Bengkulu,ID,2022-01-30 22:06:03,-3.8004,102.2655,75.72,89,100,3.8
44,44,Malibu,US,2022-01-30 22:06:46,34.005,-118.8101,78.51,47,0,3.0
45,45,Acari,PE,2022-01-30 22:07:47,-15.4311,-74.6158,76.05,65,75,9.8
52,52,Vaini,TO,2022-01-30 22:07:49,-21.2,-175.2,80.15,77,100,12.71
61,61,Atuona,PF,2022-01-30 22:07:12,-9.8,-139.0333,78.08,77,11,13.69
65,65,Olinda,BR,2022-01-30 22:03:02,-8.0089,-34.8553,83.93,70,75,9.22
66,66,Hithadhoo,MV,2022-01-30 22:07:54,-0.6,73.0833,81.55,70,86,9.4
76,76,Vila Velha,BR,2022-01-30 22:03:30,-20.3297,-40.2925,79.95,82,0,1.01
77,77,Belmonte,BR,2022-01-30 22:08:00,-15.8631,-38.8828,81.1,82,9,11.18
79,79,Lorengau,PG,2022-01-30 22:04:13,-2.0226,147.2712,78.69,86,100,11.9
82,82,Carnarvon,AU,2022-01-30 22:08:02,-24.8667,113.6333,77.52,73,57,21.47
92,92,Kavieng,PG,2022-01-30 22:06:49,-2.5744,150.7967,81.64,75,89,2.28
94,94,Georgetown,MY,2022-01-30 22:06:16,5.4112,100.3354,80.89,86,20,0.0
96,96,Butaritari,KI,2022-01-30 22:09:08,3.0707,172.7902,82.04,76,17,20.92
97,97,Mahebourg,MU,2022-01-30 22:09:08,-20.4081,57.7,79.09,94,75,11.5
102,102,Atar,MR,2022-01-30 22:09:10,20.5169,-13.0499,79.79,11,100,8.72
104,104,Mareeba,AU,2022-01-30 22:09:11,-17.0,145.4333,78.44,85,100,1.5
107,107,Kontagora,NG,2022-01-30 22:05:59,10.3999,5.4695,76.59,10,100,11.16
108,108,Santarem,BR,2022-01-30 22:09:12,-2.4431,-54.7083,78.93,89,75,3.44
112,112,Bartica,GY,2022-01-30 22:09:14,6.4,-58.6167,77.32,83,90,4.32
113,113,Kirakira,SB,2022-01-30 22:09:15,-10.4544,161.9205,83.25,76,92,5.1
123,123,Bonthe,SL,2022-01-30 22:06:15,7.5264,-12.505,78.57,84,7,8.95
129,129,Kahului,US,2022-01-30 22:04:57,20.8947,-156.47,82.42,59,20,18.41
132,132,Arraial Do Cabo,BR,2022-01-30 22:06:55,-22.9661,-42.0278,76.86,88,75,10.36
135,135,Maragogi,BR,2022-01-30 22:09:14,-9.0122,-35.2225,79.79,79,100,9.62
136,136,Cayenne,GF,2022-01-30 22:06:18,4.9333,-52.3333,78.1,87,24,11.01
141,141,Gigmoto,PH,2022-01-30 22:10:26,13.7796,124.39,76.69,89,43,9.15
143,143,Nioro,GM,2022-01-30 22:06:22,13.35,-15.75,85.87,15,82,4.25
144,144,Emerald,AU,2022-01-30 22:06:51,-23.5333,148.1667,79.34,70,61,11.61
146,146,Yaan,NG,2022-01-30 22:10:28,7.3833,8.5667,81.46,12,100,11.07
147,147,Padang,ID,2022-01-30 22:10:29,-0.9492,100.3543,75.25,89,100,3.96
167,167,Jizan,SA,2022-01-30 22:10:37,17.3333,42.6667,78.13,75,57,5.66
169,169,Axim,GH,2022-01-30 22:10:38,4.8699,-2.2405,78.98,85,98,5.48
171,171,Bambous Virieux,MU,2022-01-30 22:09:32,-20.3428,57.7575,79.05,94,75,11.5
177,177,Vao,NC,2022-01-30 22:10:41,-22.6667,167.4833,79.07,84,100,5.88
178,178,Chilca,PE,2022-01-30 22:10:42,-12.5211,-76.7372,75.61,79,84,7.09
184,184,Rio Grande,BR,2022-01-30 22:11:45,-32.035,-52.0986,77.95,72,21,19.55
185,185,Coruripe,BR,2022-01-30 22:11:45,-10.1256,-36.1756,80.17,76,100,9.53
186,186,Itaqui,BR,2022-01-30 22:11:46,-29.1253,-56.5531,92.52,18,0,8.63
187,187,Isangel,VU,2022-01-30 22:09:53,-19.55,169.2667,77.27,94,100,9.78
188,188,Lompoc,US,2022-01-30 22:07:13,34.6391,-120.4579,75.02,43,0,19.57
189,189,Cabo San Lucas,MX,2022-01-30 22:06:58,22.8909,-109.9124,79.61,60,20,1.99
193,193,Piacabucu,BR,2022-01-30 22:11:48,-10.4056,-36.4344,80.33,77,94,9.01
197,197,Beyla,GN,2022-01-30 22:11:50,8.6833,-8.6333,75.58,15,60,3.36
199,199,Castelo Do Piaui,BR,2022-01-30 22:11:51,-5.3222,-41.5525,76.28,69,98,2.59
207,207,Namatanai,PG,2022-01-30 22:11:54,-3.6667,152.4333,81.3,77,100,3.29
212,212,Fare,PF,2022-01-30 22:08:34,-16.7,-151.0167,80.46,72,22,10.09
213,213,Acajutla,SV,2022-01-30 22:11:57,13.5928,-89.8275,87.8,46,1,4.05
220,220,Mogadishu,SO,2022-01-30 22:12:00,2.0371,45.3438,77.13,79,88,20.6
235,235,Caxito,AO,2022-01-30 22:13:07,-8.5785,13.6643,75.18,93,100,2.28
236,236,General Pico,AR,2022-01-30 22:13:07,-35.6566,-63.7568,86.34,25,7,12.15
237,237,Moron,AR,2022-01-30 22:12:01,-34.6534,-58.6198,86.02,48,0,5.01
238,238,Labuhan,ID,2022-01-30 22:13:08,-6.8844,112.2051,78.01,86,100,8.1
239,239,Port-Gentil,GA,2022-01-30 22:12:00,-0.7193,8.7815,81.23,79,94,9.42
243,243,Kupang,ID,2022-01-30 22:13:10,-10.1667,123.5833,81.18,89,75,11.5
244,244,Alugan,PH,2022-01-30 22:13:10,12.2188,125.4808,77.49,85,39,2.64
248,248,Iralaya,HN,2022-01-30 22:13:12,15.0,-83.2333,78.89,71,78,17.47
251,251,Nelson Bay,AU,2022-01-30 22:13:14,-32.7167,152.15,79.09,81,80,4.74
253,253,Vaitape,PF,2022-01-30 22:13:15,-16.5167,-151.75,80.64,72,12,9.06
254,254,Mildura,AU,2022-01-30 22:13:15,-34.2,142.15,80.08,55,0,8.3
261,261,Banjar,ID,2022-01-30 22:13:19,-8.19,114.9675,76.91,91,100,3.27
264,264,Port Macquarie,AU,2022-01-30 22:12:36,-31.4333,152.9167,77.9,77,8,4.59
265,265,Tabou,CI,2022-01-30 22:12:52,4.423,-7.3528,79.79,86,25,7.81
266,266,Moindou,NC,2022-01-30 22:13:21,-21.6924,165.677,82.35,77,100,7.54
267,267,Chavakkad,IN,2022-01-30 22:13:22,10.5333,76.05,78.17,77,7,7.76
268,268,Makakilo City,US,2022-01-30 22:12:15,21.3469,-158.0858,79.12,55,0,13.8
271,271,Mana,GF,2022-01-30 22:13:23,5.6592,-53.7767,77.13,82,63,10.27
277,277,San Andres,CO,2022-01-30 22:14:26,12.5847,-81.7006,80.62,74,40,9.22
280,280,Micheweni,TZ,2022-01-30 22:14:27,-4.9667,39.8333,79.32,79,84,9.64
288,288,Souillac,MU,2022-01-30 22:14:31,-20.5167,57.5167,79.18,94,75,11.5
293,293,Manali,IN,2022-01-30 22:14:34,13.1667,80.2667,78.08,83,8,0.92
299,299,Katherine,AU,2022-01-30 22:10:06,-14.4667,132.2667,79.12,83,78,11.5
301,301,Kapoeta,SS,2022-01-30 22:14:37,4.7717,33.5903,81.99,25,53,8.68
303,303,Faanui,PF,2022-01-30 22:10:35,-16.4833,-151.75,80.6,72,11,9.1
305,305,Touros,BR,2022-01-30 22:14:39,-5.1989,-35.4608,81.5,76,20,12.57
306,306,Trincomalee,LK,2022-01-30 22:14:39,8.5711,81.2335,79.61,78,19,13.15
307,307,Bandarbeyla,SO,2022-01-30 22:14:39,9.4942,50.8122,75.54,76,96,15.9
308,308,Sao Joao Da Barra,BR,2022-01-30 22:14:40,-21.6403,-41.0511,76.77,89,9,9.26
315,315,Beverly Hills,US,2022-01-30 22:11:53,34.0736,-118.4004,77.99,44,0,5.01
321,321,Whangamata,NZ,2022-01-30 22:15:45,-37.2,175.8667,75.31,71,96,8.86
325,325,Hambantota,LK,2022-01-30 22:12:41,6.1241,81.1185,75.97,89,22,11.92
327,327,Santa Marta,CO,2022-01-30 22:13:28,11.2408,-74.199,84.88,60,20,3.0
330,330,Neuquen,AR,2022-01-30 22:14:05,-38.9516,-68.0591,78.69,14,0,13.8
331,331,Teahupoo,PF,2022-01-30 22:12:39,-17.8333,-149.2667,78.53,76,94,12.15
333,333,Pauini,BR,2022-01-30 22:15:49,-7.7136,-66.9764,79.29,88,55,2.35
337,337,Bathsheba,BB,2022-01-30 22:15:51,13.2167,-59.5167,79.41,69,40,13.8
338,338,Harper,LR,2022-01-30 22:15:51,4.375,-7.7169,79.74,86,64,8.23
339,339,Cairns,AU,2022-01-30 22:15:52,-16.9167,145.7667,83.07,82,100,3.44
340,340,General Roca,AR,2022-01-30 22:15:52,-39.0333,-67.5833,83.62,11,6,24.09
347,347,Cravo Norte,CO,2022-01-30 22:15:55,6.3017,-70.2041,92.64,26,100,10.22
349,349,Flinders,AU,2022-01-30 22:15:55,-34.5833,150.8552,79.81,73,20,7.0
356,356,Luanda,AO,2022-01-30 22:14:52,-8.8368,13.2343,78.8,83,75,9.22
358,358,Sabang,ID,2022-01-30 22:15:59,5.8933,95.3214,81.39,75,86,7.99
